Port,SupplyDemand,Num Samples
Las Palmas-5d1a8657373a,Supply,142
Lasawei-611eb914887d,Demand,12
Laurium-0c1bd8a6c6dd,Demand,11
Laurium-0c1bd8a6c6dd,Supply,11
Lavan-192e73959889,Demand,13
Lavan-192e73959889,Supply,76
Lazaro Cardenas-43bf0fb63d65,Supply,56
Le Havre-4c8da7f30f05,Demand,978
Le Havre-4c8da7f30f05,Supply,17
Leixoes-3deb77dbc15f,Demand,217
Lerwick-4daad61c0abb,Supply,125
Les Escoumins Harbor-3f35dc3969cd,Demand,38
Les Escoumins Harbor-3f35dc3969cd,Supply,23
Levis-10811e84a7d1,Demand,256
Levis-10811e84a7d1,Supply,31
Limassol-2e76e2e5ad30,Demand,119
Limassol-2e76e2e5ad30,Supply,194
Limboh Terminal-69a91073e2a8,Demand,53
Lirquen-19715cc8d779,Demand,157
Lirquen-19715cc8d779,Supply,148
Lisboa-0860dd02e960,Supply,13
Little Burin Harbor-bff5378de381,Supply,12
Littlehampton-0ffdc4e1fdd5,Demand,12
Liuheng-c7395faa59ca,Demand,566
Liuheng-c7395faa59ca,Supply,178
Liverpool-74c10d29bf7f,Demand,12
Livorno-706a305f41ba,Demand,265
Livorno-706a305f41ba,Supply,19
Llanddulas-aac8bb8548dc,Supply,26
Lombo East Terminal-f25cc6a7ab2b,Supply,21
Lome-ac60ca402042,Demand,239
Lome-ac60ca402042,Supply,181
Long Beach-4c3082f54073,Demand,1541
Long Beach-4c3082f54073,Supply,192
Long Harbour-f1a2f89d1d91,Demand,57
Long Harbour-f1a2f89d1d91,Supply,135
Long Pond-b2e644d428b5,Supply,14
Longkou-83dd447f48b9,Demand,691
Longkou-83dd447f48b9,Supply,141
Los Angeles-b69ef5ad9a4c,Demand,86
Los Angeles-b69ef5ad9a4c,Supply,11
Lowestoft-fa26f9b6e8fb,Demand,126
Lowestoft-fa26f9b6e8fb,Supply,104
Luanda-ca9aa21f6979,Demand,41
Luanda-ca9aa21f6979,Supply,47
Luba-7c3ce5a043e8,Supply,15
